date,open,high,low,close,volume
2015/1/2,111.39 ,111.44 ,107.35 ,109.33 ,53204600.00 
2015/1/5,108.29 ,108.65 ,105.41 ,106.25 ,64285500.00 
2015/1/6,106.54 ,107.43 ,104.63 ,106.26 ,65797100.00 
2015/1/7,107.20 ,108.20 ,106.70 ,107.75 ,40105900.00 
2015/1/8,109.23 ,112.15 ,108.70 ,111.89 ,59364500.00 
2015/1/9,112.67 ,113.25 ,110.21 ,112.01 ,53699500.00 
2015/1/12,112.60 ,112.63 ,108.80 ,109.25 ,49650800.00 
2015/1/13,111.43 ,112.80 ,108.91 ,110.22 ,67091900.00 
2015/1/14,109.04 ,110.49 ,108.50 ,109.80 ,48337000.00 
2015/1/15,110.00 ,110.06 ,106.66 ,106.82 ,60014000.00 
2015/1/16,107.03 ,107.58 ,105.20 ,105.99 ,78513300.00 
2015/1/20,107.84 ,108.97 ,106.50 ,108.72 ,49899900.00 
2015/1/21,108.95 ,111.06 ,108.27 ,109.55 ,48575900.00 
2015/1/22,110.26 ,112.47 ,109.72 ,112.40 ,53796400.00 
2015/1/23,112.30 ,113.75 ,111.53 ,112.98 ,46464800.00 
2015/1/26,113.74 ,114.36 ,112.80 ,113.10 ,55615000.00 
2015/1/27,112.42 ,112.48 ,109.03 ,109.14 ,95568700.00 
2015/1/28,117.63 ,118.12 ,115.31 ,115.31 ,146477100.00 
2015/1/29,116.32 ,119.19 ,115.56 ,118.90 ,84436400.00 
2015/1/30,118.40 ,120.00 ,116.85 ,117.16 ,83745500.00 
2015/2/2,118.05 ,119.17 ,116.08 ,118.63 ,62739100.00 
2015/2/3,118.50 ,119.09 ,117.61 ,118.65 ,51915700.00 
2015/2/4,118.50 ,120.51 ,118.31 ,119.56 ,70149700.00 
2015/2/5,120.02 ,120.23 ,119.25 ,119.94 ,42246200.00 
2015/2/6,120.02 ,120.25 ,118.45 ,118.93 ,43706600.00 
2015/2/9,118.55 ,119.84 ,118.43 ,119.72 ,38889800.00 
2015/2/10,120.17 ,122.15 ,120.16 ,122.02 ,62008500.00 
2015/2/11,122.77 ,124.92 ,122.50 ,124.88 ,73561800.00 
2015/2/12,126.06 ,127.48 ,125.57 ,126.46 ,74474500.00 
2015/2/13,127.28 ,127.28 ,125.65 ,127.08 ,54272200.00 
2015/2/17,127.49 ,128.88 ,126.92 ,127.83 ,63152400.00 
2015/2/18,127.63 ,128.78 ,127.45 ,128.72 ,44891700.00 
2015/2/19,128.48 ,129.03 ,128.33 ,128.45 ,37362400.00 
2015/2/20,128.62 ,129.50 ,128.05 ,129.50 ,48948400.00 
2015/2/23,130.02 ,133.00 ,129.66 ,133.00 ,70974100.00 
2015/2/24,132.94 ,133.60 ,131.17 ,132.17 ,69228100.00 
2015/2/25,131.56 ,131.60 ,128.15 ,128.79 ,74711700.00 
2015/2/26,128.79 ,130.87 ,126.61 ,130.42 ,91287500.00 
2015/2/27,130.00 ,130.57 ,128.24 ,128.46 ,62014800.00 
2015/3/2,129.25 ,130.28 ,128.30 ,129.09 ,48096700.00 
2015/3/3,128.96 ,129.52 ,128.09 ,129.36 ,37816300.00 
2015/3/4,129.10 ,129.56 ,128.32 ,128.54 ,31666300.00 
2015/3/5,128.58 ,128.75 ,125.76 ,126.41 ,56517100.00 
2015/3/6,128.40 ,129.37 ,126.26 ,126.60 ,72842100.00 
2015/3/9,127.96 ,129.57 ,125.06 ,127.14 ,88528500.00 
2015/3/10,126.41 ,127.22 ,123.80 ,124.51 ,68856600.00 
2015/3/11,124.75 ,124.77 ,122.11 ,122.24 ,68939000.00 
2015/3/12,122.31 ,124.90 ,121.63 ,124.45 ,48362700.00 
2015/3/13,124.40 ,125.40 ,122.58 ,123.59 ,51827300.00 
2015/3/16,123.88 ,124.95 ,122.87 ,124.95 ,35874300.00 
2015/3/17,125.90 ,127.32 ,125.65 ,127.04 ,51023100.00 
2015/3/18,127.00 ,129.16 ,126.37 ,128.47 ,65270900.00 
2015/3/19,128.75 ,129.25 ,127.40 ,127.50 ,45809500.00 
2015/3/20,128.25 ,128.40 ,125.16 ,125.90 ,68695100.00 
2015/3/23,127.12 ,127.85 ,126.52 ,127.21 ,37709700.00 
2015/3/24,127.23 ,128.04 ,126.56 ,126.69 ,32842300.00 
2015/3/25,126.54 ,126.82 ,123.38 ,123.38 ,51655200.00 
2015/3/26,122.76 ,124.88 ,122.60 ,124.24 ,47572900.00 
2015/3/27,124.57 ,124.70 ,122.91 ,123.25 ,39546200.00 
2015/3/30,124.05 ,126.40 ,124.00 ,126.37 ,47099700.00 
2015/3/31,126.09 ,126.49 ,124.36 ,124.43 ,42090600.00 
2015/4/1,124.82 ,125.12 ,123.10 ,124.25 ,40621400.00 
2015/4/2,125.03 ,125.56 ,124.19 ,125.32 ,32220100.00 
2015/4/6,124.47 ,127.51 ,124.33 ,127.35 ,37194000.00 
2015/4/7,127.64 ,128.12 ,125.98 ,126.01 ,35012300.00 
2015/4/8,125.85 ,126.40 ,124.97 ,125.60 ,37329200.00 
2015/4/9,125.85 ,126.58 ,124.66 ,126.56 ,32484000.00 
2015/4/10,125.95 ,127.21 ,125.26 ,127.10 ,40188000.00 
2015/4/13,128.37 ,128.57 ,126.61 ,126.85 ,36365100.00 
2015/4/14,127.00 ,127.29 ,125.91 ,126.30 ,25524600.00 
2015/4/15,126.41 ,127.13 ,126.01 ,126.78 ,28970400.00 
2015/4/16,126.28 ,127.10 ,126.11 ,126.17 ,28369000.00 
2015/4/17,125.55 ,126.14 ,124.46 ,124.75 ,51957000.00 
2015/4/20,125.57 ,128.12 ,125.17 ,127.60 ,47054300.00 
2015/4/21,128.10 ,128.20 ,126.67 ,126.91 ,32435100.00 
2015/4/22,126.99 ,128.87 ,126.32 ,128.62 ,37654500.00 
2015/4/23,128.30 ,130.42 ,128.14 ,129.67 ,45770900.00 
2015/4/24,130.49 ,130.63 ,129.23 ,130.28 ,44525900.00 
2015/4/27,132.31 ,133.13 ,131.15 ,132.65 ,96954200.00 
2015/4/28,134.46 ,134.54 ,129.57 ,130.56 ,118924000.00 
2015/4/29,130.16 ,131.59 ,128.30 ,128.64 ,63386100.00 
2015/4/30,128.64 ,128.64 ,124.58 ,125.15 ,83195400.00 
2015/5/1,126.10 ,130.13 ,125.30 ,128.95 ,58512600.00 
2015/5/4,129.50 ,130.57 ,128.26 ,128.70 ,50988300.00 
2015/5/5,128.15 ,128.45 ,125.78 ,125.80 ,49271400.00 
2015/5/6,126.56 ,126.75 ,123.36 ,125.01 ,72141000.00 
2015/5/7,124.77 ,126.08 ,124.02 ,125.26 ,43940900.00 
2015/5/8,126.68 ,127.62 ,126.11 ,127.62 ,55550400.00 
2015/5/11,127.39 ,127.56 ,125.63 ,126.32 ,42035800.00 
2015/5/12,125.60 ,126.88 ,124.82 ,125.87 ,48160000.00 
2015/5/13,126.15 ,127.19 ,125.87 ,126.01 ,34694200.00 
2015/5/14,127.41 ,128.95 ,127.16 ,128.95 ,45203500.00 
2015/5/15,129.07 ,129.49 ,128.21 ,128.77 ,38208000.00 
2015/5/18,128.38 ,130.72 ,128.36 ,130.19 ,50882900.00 
2015/5/19,130.69 ,130.88 ,129.64 ,130.07 ,44633200.00 
2015/5/20,130.00 ,130.98 ,129.34 ,130.06 ,36454900.00 
2015/5/21,130.07 ,131.63 ,129.83 ,131.39 ,39730400.00 
2015/5/22,131.60 ,132.97 ,131.40 ,132.54 ,45596000.00 
2015/5/26,132.60 ,132.91 ,129.12 ,129.62 ,70697600.00 
2015/5/27,130.34 ,132.26 ,130.05 ,132.04 ,45833200.00 
2015/5/28,131.86 ,131.95 ,131.10 ,131.78 ,30733300.00 
2015/5/29,131.23 ,131.45 ,129.90 ,130.28 ,50884500.00 
2015/6/1,130.28 ,131.39 ,130.05 ,130.54 ,32112800.00 
2015/6/2,129.86 ,130.66 ,129.32 ,129.96 ,33667600.00 
2015/6/3,130.66 ,130.94 ,129.90 ,130.12 ,30889400.00 
2015/6/4,129.58 ,130.58 ,128.91 ,129.36 ,38450100.00 
2015/6/5,129.50 ,129.69 ,128.36 ,128.65 ,35626800.00 
2015/6/8,128.90 ,129.21 ,126.83 ,127.80 ,52674800.00 
2015/6/9,126.70 ,128.08 ,125.62 ,127.42 ,56075400.00 
2015/6/10,127.92 ,129.34 ,127.85 ,128.88 ,39087300.00 
2015/6/11,129.18 ,130.18 ,128.48 ,128.59 ,35390900.00 
2015/6/12,128.19 ,128.33 ,127.11 ,127.17 ,36886200.00 
2015/6/15,126.10 ,127.24 ,125.71 ,126.92 ,43988900.00 
2015/6/16,127.03 ,127.85 ,126.37 ,127.60 ,31494100.00 
2015/6/17,127.72 ,127.88 ,126.74 ,127.30 ,32918100.00 
2015/6/18,127.23 ,128.31 ,127.22 ,127.88 ,35407200.00 
2015/6/19,127.71 ,127.82 ,126.40 ,126.60 ,54716900.00 
2015/6/22,127.49 ,128.06 ,127.08 ,127.61 ,34039300.00 
2015/6/23,127.48 ,127.61 ,126.88 ,127.03 ,30268900.00 
